shortName,BugID,Severity,Priority,Status,Assignee,Reporter,Product,Category,Component,Keywords,Build,Regression,Summary,link
2293790,2293790,serious,P1,closed,clayton,yyun,VDI,Skype For Business Redirection,SFB Windows Client,,,No,[VMW-1341] video is offset and wrong size for win10 desktops,https://buildweb.eng.vmware.com/ob/2293790/
2315646,2315646,serious,P2,closed,etatum,kusumai,VDI,Instant Clone,Instant Clone Agent,view-ngvc,12919025,---,One of the clone remains in Customizing state after resync with different snapshot,https://buildweb.eng.vmware.com/ob/2315646/
2320738,2320738,catastrophic,P0,closed,mbellon,zhangh,VDI,Remote Client,lx client,view-client-auto-lx,13146285,Yes,Unable to launch view client from RHEL 6.10 x86 or x64 OS.,https://buildweb.eng.vmware.com/ob/2320738/
2321182,2321182,serious,P1,closed,haishanw,kli,VDI,Microsoft Teams,Agent,,,---,other caller cannot re-enable video when vdi has his video turned off,https://buildweb.eng.vmware.com/ob/2321182/
2322442,2322442,serious,P1,closed,shou,yul,VDI,Smartcard Redirection,Mac Client,view-client-auto-mac,13205981,Unknown,[main branch] Mac client launching takes long time to show client UI,https://buildweb.eng.vmware.com/ob/2322442/
2322510,2322510,critical,P1,closed,borgera,zlin,VDI,Blast Protocol,Other,PAfeature-BJauto,22528888,---,ASSERT bora\lib\vncConnectionManager\vncConnectionMgr.c:1081 during taas-sr-main-post test,https://buildweb.eng.vmware.com/ob/2322510/
2322731,2322731,serious,P1,closed,caohu,zhoujing,VDI,RTAV,Win Agent,PhysicalPCWin10RS4,14059491,---,[Physical Agent]RTAV doesn't work on 32bit agent,https://buildweb.eng.vmware.com/ob/2322731/
2323890,2323890,serious,P1,closed,katiyara,jchittala,VDI,Skype For Business Redirection,SFB Agent,,,Yes,[VMW-1359] bad outgoing audio quality 2019 RDSH in fallback when Sound dialog is open within local client,https://buildweb.eng.vmware.com/ob/2323890/
2327674,2327674,critical,P1,closed,nke,ysan,VDI,Blast Networking,vVC (VMware Virtual Channels),,22772802,---,NC doesn't work with blast dump in agent,https://buildweb.eng.vmware.com/ob/2327674/
2328064,2328064,minor,P1,closed,bhatial,kli,VDI,Microsoft Teams,Agent,,,---,"cannot close ""more actions"" menu",https://buildweb.eng.vmware.com/ob/2328064/
2328072,2328072,minor,P1,closed,haishanw,kli,VDI,Microsoft Teams,Agent,,,---,[Teams Video] - self-preview window sometimes not displayed after turning camera on/off,https://buildweb.eng.vmware.com/ob/2328072/
2328230,2328230,critical,P1,closed,remote-desktop-experts,ljack,VDI,RMKS,Mac,cart-st-auto,13341315,Yes,RMKS crash when disconnecting agent desktop,https://buildweb.eng.vmware.com/ob/2328230/
2328486,2328486,critical,P1,closed,nke,swan,VDI,Blast Networking,vVC (VMware Virtual Channels),,22771702,---,remote mks dump after disconnecting from the remote desktop,https://buildweb.eng.vmware.com/ob/2328486/
2331746,2331746,critical,P1,closed,nke,ltim,VDI,Blast Networking,client-linux,,22884574,Unknown,[vvcLock][Sandbox] Linux client rmks crash and Blast Worker got dump.,https://buildweb.eng.vmware.com/ob/2331746/
2333033,2333033,serious,P1,closed,katiyara,jchittala,VDI,Microsoft Teams,Agent,,,---,"[Teams-Video] No video with vdi to vdi call, audio is fine",https://buildweb.eng.vmware.com/ob/2333033/
2333035,2333035,serious,P1,closed,katiyara,jchittala,VDI,Microsoft Teams,Agent,,,---,[Teams-Video] - Resized incoming and outgoing video windows are off and not align after opening the chat windows,https://buildweb.eng.vmware.com/ob/2333035/
2333036,2333036,minor,P1,closed,katiyara,jchittala,VDI,Microsoft Teams,Agent,,,---,[Teams-Video] - Resized incoming and outgoing video windows are off and not align after dragging using mouse,https://buildweb.eng.vmware.com/ob/2333036/
2333040,2333040,serious,P1,closed,haishanw,jchittala,VDI,Microsoft Teams,Agent,,,---,[Teams-Video] - switching between video calls incoming and outgoing video shows up as black screen,https://buildweb.eng.vmware.com/ob/2333040/
2337343,2337343,serious,P1,closed,katiyara,kli,VDI,Skype For Business Redirection,SFB Windows Client,,,No,[VMW-1367] Built in Mic not working for Dell XPS 12 optimized audio calls,https://buildweb.eng.vmware.com/ob/2337343/
2339724,2339724,critical,P1,closed,katiyara,jchittala,VDI,Microsoft Teams,Agent,,,---,[Teams-Audio] It takes way more time in VDI-optimized teams call to hear the callee after the call is established.,https://buildweb.eng.vmware.com/ob/2339724/
2340385,2340385,serious,P1,closed,xwei,zhuanhuan,VDI,Client Drive Redirection,Windows Agent,,13598265,No,"[CDR Drive letter mapping] When setting the special Value table for Defined mapping, the Drive letter is mapped error",https://buildweb.eng.vmware.com/ob/2340385/
2341326,2341326,serious,P2,closed,xwei,zhuanhuan,VDI,Client Drive Redirection,Windows Agent,,13598265,No,"[Drive letter mapping of CDR] Add the 7  drives of client for sharing to windows7 agent, Sometime only 5 or 6 drives of client is shared to agent",https://buildweb.eng.vmware.com/ob/2341326/
2342777,2342777,serious,P1,closed,xwei,zhuanhuan,VDI,Client Drive Redirection,Windows Agent,,13598265,---,"[The Driver letter mapping of CDR] When setting Drive letter mapping enabled, the DND and FA is not working",https://buildweb.eng.vmware.com/ob/2342777/
2344487,2344487,serious,P1,new,alanh,zhangh,VDI,Blast Integration,Linux Client,view-client-auto-lx,13670234,---,Hit different core dump once during BATS,https://buildweb.eng.vmware.com/ob/2344487/
2344651,2344651,serious,P1,closed,jhuo,czhou,VDI,RTAV,Linux Client,view-client-auto-lx,13670234,---,Incorrect Client side RTAV log when use this feature.,https://buildweb.eng.vmware.com/ob/2344651/
2344838,2344838,serious,P2,closed,xwei,zhuanhuan,VDI,Client Drive Redirection,Windows Agent,,13598265,No,"[CDR Drive letter mapping] When setting the special Value table for Defined mapping, the Drive letter is mapped error",https://buildweb.eng.vmware.com/ob/2344838/
2344901,2344901,serious,P2,closed,mmarcos,xwei,VDI,Documentation,VDI Knowledge Base,KB-published,13598265,No,Sometimes the folder will be failed to redirect to win7 Agent if disconnect then re-connect very quickly,https://buildweb.eng.vmware.com/ob/2344901/
2347075,2347075,catastrophic,P0,closed,vdi-guru,myounis,VDI,Installer,viewAgent-UI/Silent install (win),"batfailed, view-auto-found",13713428,---,Agent installation rolls back on windows 10x64 1703(os build 15063.1446),https://buildweb.eng.vmware.com/ob/2347075/
2348011,2348011,serious,P1,resolved,agong,horizondevops_bug_reporter,VDI,Remote Client,android client,,13752386,Unknown,hcandroid UNSTABLE for build 13752386 in viewci_HorizonClients_android_settings,https://buildweb.eng.vmware.com/ob/2348011/
2351955,2351955,critical,P1,closed,achernikov,alanh,VDI,Blast Integration,Win Client,,,---,[New Client] Flicker/tearing when playing video with shared surfaces & MMR in WMP,https://buildweb.eng.vmware.com/ob/2351955/
2354041,2354041,catastrophic,P0,closed,alanh,swan,VDI,Blast Integration,Win Client,,13833225,---,"[new client] remote mks crashed with ""PANIC: ASSERT bora\apps\rde\viewClient\win32\DX11Renderer.cpp:1059""",https://buildweb.eng.vmware.com/ob/2354041/
2354425,2354425,serious,P1,closed,haishanw,haishanw,VDI,Skype For Business Redirection,SFB Windows Client,"NOT_LEGACY, OneCloud",,---,SFB Logging improvements,https://buildweb.eng.vmware.com/ob/2354425/
2355121,2355121,serious,P1,closed,haishanw,kli,VDI,Microsoft Teams,Agent,,,---,Optimized Teams not working on win 10x86,https://buildweb.eng.vmware.com/ob/2355121/
2355242,2355242,critical,P1,closed,remote-desktop-experts,lvl,VDI,RMKS,win,,13847130,---,[Main Branch]Fail to connect to remote desktop: remotemks crashed,https://buildweb.eng.vmware.com/ob/2355242/
2355526,2355526,critical,P1,closed,alanh,scheng,VDI,Blast Integration,Win Client,,13856893,---,[New Client] [Collab] Cannot see primary session's cursor from shadow session,https://buildweb.eng.vmware.com/ob/2355526/
2355856,2355856,serious,P1,new,bentonj,chironaka,VDI,Blast Protocol,Audio,,13364005,---,Fail to connect to pulse audio backend after reconnecting in Ubuntu 18.04,https://buildweb.eng.vmware.com/ob/2355856/
2356214,2356214,serious,P1,closed,adityashriva,katiyara,VDI,Server Core,Authentication Infrastructure,,,---,"Sign wsauth, wsksp and vmwsci",https://buildweb.eng.vmware.com/ob/2356214/
2356243,2356243,critical,P1,closed,bentonj,zlin,VDI,Blast Protocol,Display,PAfeature-BJauto,13863423,---,[Dynamic Encoder] SessionRecorderErrorCb was fired with SR_ENCODER_TYPE_ERROR after enable dynamic encoder,https://buildweb.eng.vmware.com/ob/2356243/
2356273,2356273,serious,P1,new,bentonj,ljack,VDI,Blast Protocol,Performance,,13857090,---,"[Dynamic Encoder] With only video session, the FPS is lower and  memory usage is higher with dynamic encoder",https://buildweb.eng.vmware.com/ob/2356273/
