branch,buildId,buildType,changeset,componentId,kind,p4web_url,product,scmserver
cart-20fq3,14097818,release,7247492,14094976,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7247492?ac=10,crtbora,perforce.eng.vmware.com:1666
thinprint_beta,14097818,release,180383,13609390,ob,http://p4web.eng.vmware.com:1985/@md=d&cd=//&c=UXC@/180383?ac=10,thinprint,perforce-panda.eng.vmware.com:1985
wake-cart20fq3,14097818,release,347928,14054876,ob,http://p4web.eng.vmware.com:1650/@md=d&cd=//&c=UXC@/347928?ac=10,cata_fw,perforce-bison.eng.vmware.com:1650
cart-20fq3,14097818,release,7232005,14055139,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7232005?ac=10,viewdrivers,perforce.eng.vmware.com:1666
main,14097818,release,830966,13884242,ob,http://p4web.eng.vmware.com:1700/@md=d&cd=//&c=UXC@/830966?ac=10,cdsng,perforce-shark.eng.vmware.com:1700
wake-cart20fq3,14097818,release,347928,14054870,ob,http://p4web.eng.vmware.com:1650/@md=d&cd=//&c=UXC@/347928?ac=10,pcoip_vchan,perforce-bison.eng.vmware.com:1650
cart-20fq3,14097818,release,7247636,14095205,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7247636?ac=10,horizonagent,perforce.eng.vmware.com:1666
wake-cart20fq3,14097818,release,347928,14054873,ob,http://p4web.eng.vmware.com:1650/@md=d&cd=//&c=UXC@/347928?ac=10,pcoip_mfw,perforce-bison.eng.vmware.com:1650
cart-20fq3,14097818,release,7247492,14094953,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7247492?ac=10,rde-rft-all,perforce.eng.vmware.com:1666
cart-20fq3,14097818,release,7247492,14094977,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7247492?ac=10,mobilelibs,perforce.eng.vmware.com:1666
wake-cart20fq3,14097818,release,347881,14054840,ob,http://p4web.eng.vmware.com:1650/@md=d&cd=//&c=UXC@/347881?ac=10,mfw,perforce-bison.eng.vmware.com:1650
cart-20fq3,14088665,beta,7243853,14084455,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7243853?ac=10,crtbora,perforce.eng.vmware.com:1666
cart-20fq3,14088665,beta,7232005,14055137,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7232005?ac=10,viewdrivers,perforce.eng.vmware.com:1666
thinprint_beta,14088665,release,180383,13609390,ob,http://p4web.eng.vmware.com:1985/@md=d&cd=//&c=UXC@/180383?ac=10,thinprint,perforce-panda.eng.vmware.com:1985
wake-cart20fq3,14088665,beta,347928,14054871,ob,http://p4web.eng.vmware.com:1650/@md=d&cd=//&c=UXC@/347928?ac=10,pcoip_mfw,perforce-bison.eng.vmware.com:1650
main,14088665,beta,830966,13884228,ob,http://p4web.eng.vmware.com:1700/@md=d&cd=//&c=UXC@/830966?ac=10,cdsng,perforce-shark.eng.vmware.com:1700
wake-cart20fq3,14088665,beta,347881,14054838,ob,http://p4web.eng.vmware.com:1650/@md=d&cd=//&c=UXC@/347881?ac=10,mfw,perforce-bison.eng.vmware.com:1650
wake-cart20fq3,14088665,beta,347928,14054868,ob,http://p4web.eng.vmware.com:1650/@md=d&cd=//&c=UXC@/347928?ac=10,pcoip_vchan,perforce-bison.eng.vmware.com:1650
cart-20fq3,14088665,beta,7244001,14085402,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7244001?ac=10,horizonagent,perforce.eng.vmware.com:1666
cart-20fq3,14088665,beta,7244001,14085393,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7244001?ac=10,rde-rft-all,perforce.eng.vmware.com:1666
wake-cart20fq3,14088665,beta,347928,14054874,ob,http://p4web.eng.vmware.com:1650/@md=d&cd=//&c=UXC@/347928?ac=10,cata_fw,perforce-bison.eng.vmware.com:1650
cart-20fq3,14088665,beta,7243853,14084447,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7243853?ac=10,mobilelibs,perforce.eng.vmware.com:1666
thinprint_beta,14095148,release,180383,13609390,ob,http://p4web.eng.vmware.com:1985/@md=d&cd=//&c=UXC@/180383?ac=10,thinprint,perforce-panda.eng.vmware.com:1985
wake-cart20fq3,14095148,release,347928,14054876,ob,http://p4web.eng.vmware.com:1650/@md=d&cd=//&c=UXC@/347928?ac=10,cata_fw,perforce-bison.eng.vmware.com:1650
cart-20fq3,14095148,release,7247492,14094965,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7247492?ac=10,horizonagent,perforce.eng.vmware.com:1666
cart-20fq3,14095148,release,7232005,14055139,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7232005?ac=10,viewdrivers,perforce.eng.vmware.com:1666
main,14095148,release,830966,13884242,ob,http://p4web.eng.vmware.com:1700/@md=d&cd=//&c=UXC@/830966?ac=10,cdsng,perforce-shark.eng.vmware.com:1700
wake-cart20fq3,14095148,release,347928,14054870,ob,http://p4web.eng.vmware.com:1650/@md=d&cd=//&c=UXC@/347928?ac=10,pcoip_vchan,perforce-bison.eng.vmware.com:1650
cart-20fq3,14095148,release,7246425,14091437,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7246425?ac=10,rde-rft-all,perforce.eng.vmware.com:1666
wake-cart20fq3,14095148,release,347928,14054873,ob,http://p4web.eng.vmware.com:1650/@md=d&cd=//&c=UXC@/347928?ac=10,pcoip_mfw,perforce-bison.eng.vmware.com:1650
cart-20fq3,14095148,release,7246284,14091281,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7246284?ac=10,crtbora,perforce.eng.vmware.com:1666
cart-20fq3,14095148,release,7246284,14091277,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7246284?ac=10,mobilelibs,perforce.eng.vmware.com:1666
wake-cart20fq3,14095148,release,347881,14054840,ob,http://p4web.eng.vmware.com:1650/@md=d&cd=//&c=UXC@/347881?ac=10,mfw,perforce-bison.eng.vmware.com:1650
cart-20fq3,14095110,beta,7232005,14055137,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7232005?ac=10,viewdrivers,perforce.eng.vmware.com:1666
thinprint_beta,14095110,release,180383,13609390,ob,http://p4web.eng.vmware.com:1985/@md=d&cd=//&c=UXC@/180383?ac=10,thinprint,perforce-panda.eng.vmware.com:1985
cart-20fq3,14095110,beta,7246284,14091289,ob,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7246284?ac=10,mobilelibs,perforce.eng.vmware.com:1666
wake-cart20fq3,14095110,beta,347928,14054871,ob,http://p4web.eng.vmware.com:1650/@md=d&cd=//&c=UXC@/347928?ac=10,pcoip_mfw,perforce-bison.eng.vmware.com:1650
